EARLIEST_FILING_YEAR,APPLN_ABSTRACT,PSN_NAME,IPC4
2007,"In the thermosetting bipolar plate production process relating to the bipolar plates that make up one of the most important components of fuel cells, conductive fillers, thermosetting binders, mould release agents, reinforcing agents and rheological modifiers are mixed with waste thermosetting plate materials and bipolar plates that have the same properties as those prepared with pure materials is obtained.","TUEBITAK-TUERKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURUMU","B29B"
1994,"A passive dithering display system (99) includes an optical display including a plurality of pixels with dead space between the pixels for producing an image, and a birefringent material (10) for shifting one polarization component of the image relative to a second polarization component of the image such that the shifted polarization component lies in the dead space (5b). Thus, the system of the invention can change the location of an optical signal, and the change can be used to improve resolution of a display, to reduce fixed pattern noise of a display, to facilitate locating and hiding of circuitry (131), to facilitate overlapping of tiles or pixels, etc.","FERGASON PATENT PROPERTIES","G09G"
2007,"Herein described is a disposable uterine dilator, which comprises a cylindrical element (5), held within which is a fluid, in particular made up of distilled water, said fluid possibly being compressed by a piston (1) and thus discharged from said cylindrical element (5) in a slow and gradual manner ending up filling a structure made up of, in particular, a rod-shaped flexible element (11) which, filling up gradually, once previously inserted into the uterine cervix, is susceptible to enlarge under the dilatation effect due to the addition of a fluid into it, thus determining its dilatation and hence the dilatation of the uterine cervix into which it is inserted.","SLATINAC, MS SLAVICA","A61M"
2006,"The present invention discloses, inter alia, a sensor that is adapted to be either one of fluorescing or phosphorescing. In embodiments of the invention, the sensor may include a zero-order diffractive filter for polarised or unpolarised polychromatic light, wherein the zero-order diffractive filter may include: a medium (12) having a low index of refraction n low ; and a waveguiding layer (11) having a high index of refraction n high . In embodiments of the invention, the medium (12) and the waveguiding layer (11) may be arranged such to form a grating line (10) being a microstructure (1). The grating lines (10) may have a period length A that is smaller than the wavelength of light for which the filter is designed. The sensor may further include an interface (13,14) between the low refraction index medium (12) and the waveguiding layer (11), whereby the interface (13,14) may constitute a nanostructure (2). At least some of the nanostructure (2) may implemented by either one of a fluorescing and phosphorescing material (3). Additional and alternative embodiments are specified and claimed.","CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHNIQUE","G02B"
2007,"An aqueous primer composition comprising (A) a modified polyolefin aqueous dispersion, (B) an aqueous urethane resin and/or aqueous acrylic resin, (C) a conductive metal oxide and (D) aluminum flakes, characterized in that the solid mass ratio of component (A)/component (B) is in the range of 15/85-80/20, component (C) is present in a range of 50-300 parts by mass with respect to 100 parts by mass of the total resin solid portion in the composition, and component (D) is present in a range of 1-30 parts by mass with respect to 100 parts by mass of the total resin solid portion in the composition. It is possible to form high-brightness and high-chroma paint colors on plastic molded articles such as automobile bumpers, and to form primer coating films with sufficient conductivity and excellent water resistance and humidity resistance.","KANSAI PAINT COMPANY","C09D"
2008,"Use of a polyvinyl alcohol having a degree of polymerization of less than 700 and a degree of hydrolysis of 75 to 95 mol% as co-stabilizer for thermoplastic processable PVC mixtures in combination with metal ions.","KURARAY EUROPE","C08L"
2007,"A step time display device for an injection molding machine selects two events (a time measurement start event and a time measurement end event), time of each of which is to be measured, from among a plurality of events (starts and ends of mold clamping, injection, holding pressure, metering, mold opening, and ejection steps) in one molding cycle of an injection molding machine, and detects and stores occurrence time of each of the selected events. The step time display device calculates a time interval between the two events based on the occurrence time of each of the two stored events, and displays the calculated time interval on a screen.","FANUC","B29C"
2007,"Disclosed is an automobile toy, including: a first chassis (22) to support an axle (21) of a front wheel (20); and a second chassis (32) to support an axle (31) of a rear wheel (30), wherein the first and second chassis are rotatably connected with each other by a rotating shaft (44) that lies along a width direction of the automobile toy, and a spring (43) for biasing the first and second chassis is arranged between the first and second chassis, so as to bias the front wheel and the rear wheel to an approaching direction to the ground.","TOMY COMPANY","A63H"
2008,"The present invention refers to a SiC ceramic material, and methods for the production thereof.","IMERYS KILN FURNITURE HUNGARY LTD.HU","C04B"
2007,"A participatory athletic event timing system based on backscattering modulation in the UHF band and including wirelessly encoding writable data tags with participant's bib numbers or a calculated derivative thereof for timing participants in a participative athletic event, and attaching the data tags to the participant's bibs for distribution of the bibs and data tags to participants so as to eliminate the need for matching data tags with bibs and maintaining the sequenced order of the matched data tags and bibs. In a preferred embodiment, when participants register for the event, they are assigned an ID number and a bib printed with that number and having attached to the bib one or more data tag encoded in the tags memory the ID number or a calculated derivative thereof. Before the start of the event, the athlete pulls the data tag from the bib and attaches it to their shoe. Antennas suitably designed and adapted for use with the data tags in participative athletic events are used to communicate with the data tags.","KIA, ARASH","G07C"
1999,"A system for applying test patterns to scan chains (26) in a circuit-under-test (34) comprising: \n means (36) for applying test patterns to the scan chains; \n means (21) for providing a set of compressed deterministic test patterns to the test pattern applying means; \n means (21,25) for providing an initial value to the test pattern applying means; and \n means (25) for configuring the test pattern applying means to generate, in a pseudorandom phase of operation, a set of pseudo-random patterns from to the initial value and to generate, in a deterministic phase of operation, a set of decompressed deterministic test patterns from the set of compressed deterministic test patterns.","MENTOR GRAPHICS CORPORATION","G01R"
2007,"There are provided a method of manufacturing a zinc oxide semiconductor, and a zinc oxide semiconductor manufactured using the method. A metal catalyst layer is formed on a zinc oxide thin film that has an electrical characteristic of a n-type semiconductor, and a heat treatment is performed thereon so that the zinc oxide thin film is modified into a zinc oxide thin film having an electrical characteristic of a p-type semiconductor. Hydrogen atoms existing in the zinc oxide thin film are removed by a metal catalyst during the heat treatment. Accordingly, the hydrogen atoms existing in the zinc oxide thin film are removed by the metal catalyst and the heat treatment, and the concentration of holes serving as carriers is increased. That is, an n-type zinc oxide thin film is modified into a highly-concentrated p-type zinc oxide semiconductor.","GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY","H01L"
1997,"Nucleic acids encoding nine human receptors, designated DNAX Toll-like receptors 2-10 (DTLR2-10), homologous to the Drosophila Toll receptor and the human IL-1 receptor, purified DTLR proteins and fragments thereof, mono-/polyclonal antibodies against these receptors, and methods for diagnostic and therapeutic use.","SCHERING CORPORATION","C12N"
1999,"The present invention relates to biologically active antibody dimers. The dimers can be composed of two antibody molecules having the same antigen binding specificity (homodimer). Alternatively, the dimers can be composed of two different antibody molecules having binding specificity for two distinct antigens (heterodimer). These dimers are useful for inducing hyper-cross-linking of membrane antigens. The present invention further relates to the use of biologically active antibody dimers for the preferential killing or inhibition of selected cell populations in the treatment of diseases such as cancer and autoimmune disorders.","BIOGEN IDEC MA","C12N"
2007,"Herein described is a machine for painting and pattern printing on flat rigid panels, made of glass, metal, wood, plastic and other types of material, of the type in which the panel (1) is arranged on a transport organ (2) usually made up of a rotating cylinder or a sliding belt, arranged oppositely positioned with respect to a painting cylinder (3), which deposits the paint on the underlying panel transported by the abovementioned moveable belt/cylinder. The machine is characterised in that the painting cylinder (3) in absence of the underlying panel (1) is arranged at a distance exceeding the thickness of the panel itself and that, at the beginning of the painting or pattern printing operation, the abovementioned painting cylinder is arranged in contact with the panel moving forward, covering its entire width, in a manner orthogonal to the direction of forward movement of the panel and in a predetermined position, regardless of the thickness of the panel to be painted.","GE.MA.TA.","B05C"
2007,"A display device is provided with a display module (30) that has a display panel (310), which has a display screen where information is displayed, and an elastic member (320) that is attached to both edges of the display panel. The display device is further provided with a housing case (32B) that has holding protrusions (410), which stand apart from one another at positions spreading beyond the outline of the display module and matching the outline of the display module, and come into contact with the elastic member to hold the display module between one another.","FUJITSU","G06F"
2008,"A method and a device are provided for processing data in an optical network comprising several nodes, wherein at least one control packet is transmitted from one node to another node, said control packet comprising reservation information for optical data to be conveyed through the network, wherein said at least one control packet is routed according to a transmission matrix. Furthermore, a communication system comprising such a device is suggested.","NOKIA NETWORKS","H04Q"
2005,"A method for point-of-interest attraction towards an object pixel in a digital image by first performing object segmentation resulting in a contour-based or a region-based representation of object pixels and background pixels of the image. Secondly a vector distance transform image is computed comprising a vector displacement of each background pixel towards the nearest of said object pixels and the nearest object pixel for a given background pixel is determined by adding the vector displacement to said background pixel. Finally the point-of-interest is attracted towards the determined nearest object pixel.","AGFA HEALTHCARE","G06T"
2007,"An electronic apparatus (10) includes a first housing (20); a second housing (30); and a coupling unit (40) that openably/closably and rotatably couples the second housing with the first housing. The coupling unit is a biaxial coupling unit having: a rotation axis that vertically extends when the first housing is placed on a horizontal table, and is rotatably coupled to the first housing; and an opening/closing axis that is fixed to the rotation axis, horizontally extends, openably/closably supports the second housing with respect to the first housing, and rotates as the rotation axis rotates. The coupling unit (40) includes a stopper (300) allowing to rotate the rotation axis only when the second housing (30) is opened with respect to the first housing (20) within a range of rotation-allowing opening angle that allows for rotation.","FUJITSU","G06F"
2008,"A disposable pipette tip for releasably connecting with a pipette shaft is described, comprising an elongated flexible tubular interface having a central axis for connecting the pipette tip to the pipette shaft and an elongated tubular part extending from a distal tip opening to said tubular interface, wherein said elongated flexible tubular interface has a yield strain of more than of more than 20 % and wherein the extensibility of said elongated flexible tubular interface is reversible.","ROCHE","B01L"
2007,"A steering column assembly (2) for a motor vehicle (1) is disclosed having lower and upper steering column members (10; 11) that are slidingly interengaged. The upper column member (11) is attached to a structural part (3) of the motor vehicle (1) by a ride down mechanism (4) that allows the upper steering column (11) to move in the event of a collision. A load transfer means is provided to bypass the ride down mechanism (4) when an adjustment lever (14) is moved to a position allowing the position of the upper steering column member (11) to be adjusted thereby preventing accidental damage occurring to the ride down mechanism (4) due to operator abuse.","FORD GLOBAL TECHNOLOGIES","B62D"
2008,"A rotary power tool having a manual ratchet mechanism comprising a driveshaft (26,28) driven by a motor (22), an output shaft (12,32), disengageable shaft coupling means (38) for mechanically coupling the driveshaft (26,28) to the output shaft (12,32), and disengageable ratchet means (32,58) for blocking rotation of the output shaft (12,32) unidirectionally, wherein when one of the coupling means (38) and the ratchet means (56,58,60,62) is engaged, the other one is disengaged.","ROBERT BOSCH","B25B"
2008,"Arrangement (1) with an electric motor (3) driving a pump (2), which is delivering a process fluid (10) along a flow path (100), which flow path extends along a gap (35) between a stator (32) and a motor rotor (31) of the electric motor (3). To avoid rotor dynamic instability caused by hydrodynamics in the gap (35) flow guiding elements (17) are provided in the flow path (100).","SIEMENS","F04D"
2008,"A method for data processing is provided, wherein first data are generated by at least one user, wherein the first data are associated with a quality of an audio and / or video content, and wherein the first data are provided towards or received from a first network. Furthermore, a device is suggested for execution of the method and a system comprising such a device.","NOKIA SOLUTIONS AND NETWORKS","H04L"
2007,"A transformer (100) has a structure suitable for high-density mounting on a circuit board. Specifically, the transformer (100) includes: a bobbin (102) around which a first winding (104) and a secondary winding (106) are wound; cores (108) attached to the bobbin (102); and a cover (114) attached to the main body (110). The cover (114) surrounds a lower surface and an upper surface in addition to side surfaces of the main body (110) to exhibit an insulating property on the circuit board. The cover (114) is laterally attached to the main body (110) from a secondary-side direction of the main body (110), where primary and secondary sides are directions defined when the main body (110) is mounted on the circuit board.","TAMURA CORPORATION","H01F"
2008,"The present invention concerns a one-piece microwaveable package for a food product, said package having the shape of a sleeve comprising top, bottom and a first and second side walls, wherein the first side wall links the top and bottom wall, wherein the top wall comprises at least one notch or aperture located in its free edges and the second side wall extends the bottom wall and comprises on its free edge at least one corresponding extension that is suitable for locking with the notch or aperture of the top wall so as to lock the package in its erected position.","NESTEC","B65D"
1996,"A system for use in an improved television set, audio stereo system, computing system, or other system capable of receiving, storing, transmitting, or processing an audio or visual signal, the system comprising: \n a remote database; \n means for receiving an initial audio or visual signal to which an additional digital information associated with the initial signal has been added, the additional information containing, in whole or in part, a first number which is uniquely assigned to the individual initial signal or copies thereof, wherein the first number represents an address to a location in the remote database wherein a pre-stored set of information associated with the initial signal is contained, and \n means coupled to the system containing a processor responsive to basic operating instructions for enabling the reading of the additional information and enabling the real-time retrieving from the remote database of a subset of the pre-stored information via a communications link with the remote site; wherein the pre-stored set of information comprises a menu of options or commands.","DIGIMARC CORPORATION","H04N"
2007,"A retaining arrangement for securing an object to a surface, comprising a retaining element which is moveable between a stowed position, in which the retaining element is substantially level with, or below, the level of the surface, and a retaining position, in which the retaining element protrudes from the surface and presents at least one elongate retaining slot above the surface which is substantially parallel with the surface, into which a part of an object to be retained may be inserted, the retaining slot being at least partially formed by a retaining surface of the retaining element, the retaining surface facing, when the retaining element is in the retaining position, in a direction having at least a component that extends towards the plane of the surface in the vicinity of the retaining element.","NMI SAFETY SYSTEMS","A44B"
2007,"A speed change operation apparatus for a vehicle for performing speed change operation of a transmission of a vehicle by a pivotal operation of an operating-lever shaft comprising a body (1) of the speed change operation apparatus adapted to be mounted on a vehicle, and an operating-lever shaft (2) pivotally supported on the body (2) of the speed change operation apparatus, characterized in that the speed change operation apparatus further comprises a metal core member (6,11) rotated by pivotal operation of the operating-lever shaft (2), and coils (7a,7b.12a,12b) which are arranged along a pivotal trajectory of the core member (6,11) and to which a voltage is applied, and that shift positions of the operating-lever shaft can be detected by variations of voltage caused by movement of the core member (6,11) in the coils (7a,7b,12a,12b).","ATSUMI TEC","F16H"
2008,"The present invention relates to an applicator (1) for receiving a collapsible liquid container (4) and for applying liquid from the container (4) to a surface. The applicator (1) comprises at least one elongated guide member (2), fastening means (3) for releasably fastening the collapsible container (4) to the guide member (2), at least one sliding element (5) with a press member (18), which sliding element (5) is arranged to slide axially relative to the guide member (2), and handling means for axially sliding the sliding element (5) relative to the guide member (2) for squeezing the fastened collapsible container (4) by means of the press member (18). The present invention furthermore relates to a method for applying liquid from a collapsible liquid container (4) to a surface by using the applicator (1) according to the present invention.","HETRA CORPORATION","B05C"
2008,"The invention relates to a dryer 1 comprising a drying chamber 2 to contain articles 3 to be dried, a process air guide 4 for guiding process air along the articles 3 to pick up humidity from them, a heat sink 5 disposed in said process air guide 4 for precipitating the humidity from the process air as a condensate, a condensate collecting device 6, 7, 8, 9, 10, 11 for collecting the condensate comprising a condensate container 8 to contain the condensate. Said condensate container 8 has an insert 9 permeable by the condensate and projecting through an opening 10 into said condensate container 8 for transferring the condensate to and from said condensate container 8, said insert 9 comprising a first filter 10 for filtering particles from the condensate prior to storing the condensate in said condensate container 8.","BSH (BOSCH UND SIEMENS HAUSGERAETE)","D06F"
2003,"A method and apparatus for forming piezoelectric tubes is provided. The method includes forming a suspension (1) of ceramic particles (2) in a fluid medium (3), positioning a rod (5) in the fluid medium (3), depositing particles (2) on the rod (5) by electrophoresis, and heat-treating the deposited particles to form a piezoelectric tube by heating the deposited particles to a first predetermined temperature to solidify the particles to a surface of the rod and burn the rod, thereby leaving a tube of solidified particles closed at one end, and heating the tube to a second predetermined temperature to thereby sinter the tube to form a dense ceramic tube. The apparatus is adapted for carrying out the method.","NANYANG TECHNOLOGICAL UNIVERSITY","H01L"
2008,"A method and a device for processing data at a network element are provided, wherein the network element indicates to a remote network element to enter a power saving mode; wherein the network element enters the power saving mode; and wherein after a predetermined period of time, the network element is activated and checks whether user traffic is to be processed. Furthermore, a communication system is suggested comprising said device.","NOKIA NETWORKS","H04L"
2008,"A method, a network element and a device for processing data at a network element connected via at least one line to a network and via at least one connection to at least one user. Furthermore, a communication system is suggested comprising said device.","NOKIA SOLUTIONS AND NETWORKS","H04M"
2007,"Lead devices and methods for neurostimulation are described. Some of the neurostimulation leads provided have multiple, distal region electrode contacts arranged in an array capable of providing steerable spinal cord stimulation. In one use, a collapsed introducer sheath is disposed over a dilator and advanced to a spinal cord target site through a 14-gauge needle into the epidural space. The dilator is removed and the introducer is expanded to its full width. A neurological lead according to the present invention advanced through the introducer to near the target site and the introducer removed. The lead is wider than it is high and has a row of lower electrodes flanked by right and left side electrodes in groups of three. The lower electrodes serve as cathodes and the right and left electrodes are return anodes.","GREATBATCH","A61N"
2002,"So as to check proper seal between a foil or lid and a container along a bond area (3) by means of a transmitter/receiver head (38) there is applied a beam of ultrasonic energy to such bond area (3) and reflected ultrasonic energy is evaluated so as to detect accuracy of such seal. In order to improve ultrasonic energy transmission to and from the bond area (3), a liquid (46) is provided between transmitter/receiver (38) and bond area (3).","LEHMANN, MARTIN","G01N"
2008,"A movable and modular aerosol can collector and foam applicator comprises : - a transport unit 1 with handgrip and cylindrical cavities receiving a plurality of aerosol cans positioned with their valves 10 upwards;- a rack or framework 3 to accommodate said unit; - a collector/ connector 2 system with ball valves 21 connecting each can 7 and covering said rack; - one chassis 4 with handgrip and wheels for receiving said rack 2; - a delivering system comprising preferably a flexible hose 5 attached to the collector 2 and connecting a foam gun 6. The assembly comprises an actuating means 22 to open and close simultaneously a plurality of the ball valves 21. There is also a safety system whereby the absence of a can 7 in the unit 1 is detected and the ball valves 21 are automatically locked so that no foam can inadvertently flows out of the remaining cans.","ALTACHEM","B65D"
2003,"A method for invalidating translation table entries and clearing corresponding dynamic address translation (DAT) table entries of a translation lookaside buffer (TLB) associated with a processing unit in a computer system, the computer system comprising one or more address translation tables providing translation information to translate virtual addresses to real addresses, wherein address translation table entry information is maintained in the TLB, the method comprising: a) fetching for execution a multifunction Invalidate DAT Table Entry (IDTE) machine instruction, the IDTE instruction comprising an opcode field identifying said instruction and an information field comprising: 1) a first register field for identifying a first register for indicating an origin and type of an address translation table containing a range of one or more entries to be invalidated, 2) a second register field for identifying a second register for including indices used to select a translation table entry in a type of address translation table indicated by the first register, and an option bit for indicating whether a clear by address space control element (ASCE) operation or an invalidating-and-clearing operation is to be performed, and a range field for identifying a number of additional translation table entries, in the address translation table indicated by the first register, to be invalidated, and 3) a third register field for identifying a third register for indicating an origin and type of address translation table to be used when the clear by address space control element operation is to be performed for only selectively clearing TLB entries; and b) executing the fetched IDTE machine instruction, the executing step comprising: \n i. determining, from the option bit in the second register, whether a clear by address space control element operation is to be performed; \n ii. responsive to the option bit indicating that the clear by address space control element operation is to be performed, clearing the TLB, independent of the content of the first register, of those entries in which the address translation table origin of a translation table was used to create the entries in the TLB corresponds to the address translation table origin in the third register; \n iii. responsive to the option bit indicating that the clear by address space control element operation is not to be performed, invalidating the range of address translation table entries of a translation table identified by the range field, and clearing the TLB entries corresponding to the invalidated entries.","IBM (INTERNATIONAL BUSINESS MACHINES CORPORATION)","G06F"
2007,"A fundus camera capable of preferably photographing the periphery of a fundus irrespective of the state of an eye includes a photographing optical system having a photographing optical axis (L1) for photographing the fundus, a fundus observation optical system (30a) for picking up a fundus observation image, an alignment target projection optical system (50) for projecting an alignment target onto an anterior segment of the eye, an alignment target image detection optical system (60), a photographing unit (3) housing the systems, a moving mechanism (6,7) moving the unit for alignment of the axis, a fixation target presenting system (70) for guiding a visual line direction, a target presenting position being selectable or changeable, a display unit (8), and a controller (80) controlling the display unit to display the observation and target images, wherein the controller includes a program for forming and displaying a reticle mark in displaying the observation image varying the shape of the mark with the presenting position.","NIDEK COMPANY","A61B"
2007,"The driving device for sliding doors, comprising a rack (1) integral with the sliding door, a driving pinion (2) engaged with said rack (1) driven by a motor (3) integral with said pinion (2), that is vertically movable, and it is characterised in that the pinion (2) or the motor (3) are linked with a spring (4) that presses said pinion (2) against the rack (1), engaging the pinion (2) with the rack (1). It permits to guarantee a pressure engagement of the pinion with the rack and permits to absorb the irregularities in the height of the rack, permitting therefore the fixation of the rack to the sliding door to be carried out at the factory, that guarantees a better quality and a decrease of the cost, because the final adjustment is not carried out at the building site.","GRUP TECNOPORT CANET S.L.","E05F"
2002,"The present invention relates to modulating extracellular protein degradation and/or protein clearance by modulating the cross-beta structure formation or tissue plasminogen activator-like activity, treatment of amyloidosis-type diseases by modulating the cross-beta structure, and diagnosis of amyloidosis-type diseases by visualising cross-beta structure.","CROSSBETA BIOSCIENCES","A61K"
2007,"The invention describes an automatic device for controlling the clutch group (10) of a vehicle. The clutch group (10) comprises one or more plates (12, 14) biased by one or more springs (16). The plates (12, 14) are actuated by means of a thrust plate (24) supported on a thrust shaft (18) housed with mobile coupling at the end of the primary shaft of the gearshift (20). Inside the thrust shaft (18) channels are foreseen to make pressurised oil flow that feeds an airtight chamber (64) formed inside the casing (76) of the clutch (10). The pressurised oil contained in the airtight chamber (64) actuates mobile equipment capable of providing an additional biasing, with respect to the biasing supplied by the springs (16), on the plates (12, 14) when the manual control of the clutch (10) is not actuated.","PIAGGIO & COMPANY","F16D"
2007,"A device (1) and method for induction hardening rolling tracks (4) of thrust blocks (2) of bearings, according to a required hardening profile. At least two inductors (15, 16) arranged in tandem are used within a track (4) to be hardened, at a predetermined distance from a surface (3) of the track and the thrust block (2) is rotated with respect to the inductors, so as to make them cover the entire track, with a complete 360° turn; the inductors, at least one first pre-heating inductor (15) and one at least heating inductor (16), are shaped so as to generate a first and a second magnetic fields, respectively, both having flux lines (M1, M2) which are perpendicular to each other, and one of the two inductors (16) is mounted on an orientable head (18b) so as to be able to arrange the two inductors oriented according to the curvature of the track. The mentioned predetermined distance of the inductors from the track is obtained by using a feeler (25) to accurately detect the geometry of the track and which is introduced between the two inductors and then moved away during the heating steps which are performed sequentially in synchronism with the rotation of the thrust block (2), and by varying, in a final step, the electric power fed to at least one inductor (16).","SAET","C21D"
2007,"A focus detection device comprises: image shift detection means for detecting a relative shift amount of a pair of images formed by a pair of light fluxes having passed through an optical system; and conversion means for converting the shift amount to the defocus amount based upon dimensional information of exit pupil corresponding to an aperture restricting light flux in the optical system and distance information of the exit pupil indicating distances to the exit pupil from a predetermined imaging plane of the optical system.","NIKON CORPORATION","G03B"
2004,"A flow distribution module (5) for distributing a flow of cooling fluid across a surface. Is adapted to be connected to another at least substantially identical module (5). Makes it possible to provide a cooling unit which may be customized to meet specific cooling needs without requiring special adaptation of the 'building blocks'. Thereby provides a flexible, yet simple, system. Furthermore a stack of flow distribution modules (5). Provides a very compact cooling unit when cooling is needed for several surfaces, no need for a cooling unit having a large surface area because the modules may be stacked in stead of positioned side-by-side.","DANFOSS SILICON POWER","H01L"
2007,"The dispensing device (1) for a washing and/or rinsing agent, in a dishwashing machine, comprises: \n - a stationary body (2) designed to be integrally connected to the door of the dishwashing machine on the side directed during operation towards the washing chamber; \n - a receptacle (3) formed in the stationary body (2) for receiving a quantity of a washing/rinsing agent and having a respective mouth (4); and \n - a movable lid (5;20) associated with the receptacle (3) and displaceable in a manner constrained to the stationary body (2) against the action of resilient return means from an open position into a closed position, where it opens and closes the mouth (4), respectively. \n The dispensing device (1) also includes a manual opening mechanism for the movable lid (5;20), which comprises \n - a retaining apparatus (13,14;22a-b) able to assume an activated configuration, in which it is designed to lock the movable lid (5;20) in the closed position, and a deactivated configuration, in which it is able to free the movable lid (5;20), allowing it to pass from the closed position into the open position; and \n an operating member (11;22) of the monostable type located on the side (2b) of the stationary body (2) which during operation of the dishwashing machine is directed upwards and displaceable against the action of first resilient recall means (18;23) from a stable extracted position into an unstable retracted position, in which positions the operating member (11;22) arranges the associated retaining apparatus (13,14;22a-b) in the activated configuration and in the deactivated configuration, respectively.","ELBI INTERNATIONAL","A47L"
2007,"The present invention relates to a potting soil, comprising a phosphate containing fertilizer, in which at least a part of the phosphate is present as polyphosphate. The invention also relates to the use of a phosphate containing fertilizer, comprising a polyphosphate, and if desired, at least one nutrient selected from the group of nitrogen containing nutrients, potassium containing nutrients, magnesium containing nutrients and trace elements as basic fertilizer for a plant in potting soil.","YARA VLAARDINGEN","A01G"
2007,"Lock assembly comprising a lock (10) and a strike case (100) for the lock, wherein the lock comprises a lock case (11) with a front plate (12) and a latch (20) that is movable with respect to the front plate in a first direction of movement (8), and the strike case comprises an accommodation space having a first access opening for accommodating the latch in a closing position of the latch, wherein the latch is provided with a first closing surface and the accommodation space is bounded by a second closing surface which in the closing position cooperate together in a substantially abutting manner, wherein the latch and the strike case are provided with locking means comprising a locking chamber having a second access opening in at least a portion of the first or second closing surface, and a locking member having an extremity that is positioned to enter the locking chamber in the closing position of the latch, wherein the locking means are adapted for bringing the extremity of the locking member into the locking chamber in response to a pressure force exerted by the latch on the strike case substantially transverse to the first closing surface.","LIPS NEDERLAND","E05B"
2008,"Conveyor belt device comprising a relatively long and narrow belt. In order to ensure the correct positioning of the belt over great distances, steering rollers are provided which are arranged transversely opposite one another in the direction of transport of the belt. The steering rollers are embodied such that the upper side thereof is level with the upper side of the parts of the conveying belt run which are situated further upstream and further downstream, respectively. Viewed in the transverse direction, the steering rollers close the belt in on both sides between grooves provided for that purpose. The bottoms of the grooves are at a distance which is greater than the width of the belt in said location and the surface of the steering rollers which engages with the belt run is of conical design. This ensures that the position of the belt run is automatically corrected.","W/M SYSTEMS","B65G"
2002,"This invention relates to compounds of formula II: \n and their use as intermediates in the syntheses of aryl fused azapolycyclic compounds as agents for the treatment of neurological and psychological disorders.","PFIZER","C07C"
2007,"Elastic knitwear fabric for sports use produced with non-run knitwear machines with chain fabric, in which a non-elastic polypropylene-based yarn is coupled with an elastic yarn based on olefin copolymers of the type known with the trade-name 'Elastolefin', which is then stabilized under heat and humidity.","M.I.T.I. MANIFATTURA ITALIANA TESSUTI INDEMAGLIABILI","D04B"
2007,"A coil comprises a set of windings (30; 30'; 30') with a generally annular shape and formed by a plurality of series-connected partial windings (301; 301'; 301') made of a superconductor with a high critical temperature, in which these partial windings are arranged next to each other in stratified form, and at least one cooling sheet (350; 350'; 350') which is made of thermally conductive material and arranged in contact with this set of windings and which is designed to be connected in a thermally conductive manner to a cryogenic cooling system (60).","ASG SUPERCONDUCTORS","H01F"
2007,"The invention relates to a connecting means for clamping wires (12) to a coupling device (2) equipped with a knife connector (4). The connecting means comprises at least one retainer element (14) for each wire for holding the wire in the retainer element, at least one gripper element (20) as per each wire, said gripper element taking hold of a dielectric wire coating , at least one partition slot (24) for at least one partition (8) of the knife connector, and a clamping assembly (26) for engaging the connecting means with the knife connector (4), such that the wires (12) present in the connecting means are engaged over a stripped surface thereof in contact with the coupling device (2).","HELVAR","H01R"
2007,"A unit for forming a pack (1) of products (2) for a packaging machine (3) comprises: means (5) for feeding layers (S) of products (2) towards an elevator (6), forming an end zone for receiving products (2) in layers (S), the elevator moving vertically in both directions, between a lowered position in which it receives layers (S), and a raised position for releasing the pack (1), to the machine (3); means (7) for retaining a first single layer (S1) of products (2) at a predetermined height, acting on either side at the ends (2a,2b) of the products (2), and located in a zone between the elevator (6) lowered position and its raised position, thus allowing the first layer (S1) of products (2) to be retained in a stand by position at a predetermined height; control means (8) acting between the elevator (6) and the retaining means (7), allowing co-ordination between activation/deactivation of the retaining means (7) and the elevator (6) strokes (C).","TISSUE MACHINERY COMPANY","B65B"
2007,"An antenna is provided which includes a first antenna element having at least one base and a conductor penetrating through the base and a second antenna element having a conductor portion having a shape of a plate or a line and a connecting conductor, wherein a first end of the conductor of the first antenna element is connected to the connecting conductor of the second antenna element, and the connecting conductor of the second antenna element is connected to a partway on the conductor portion of the second antenna element.","HITACHI METALS","H01Q"
2004,"The present invention relates to compounds of the Formula \n wherein R 1 , R 3 , R 4 , R 5 , R 6 , R 7 and R 8 are as defined. Compounds of the Formula I have activity inhibiting production of A²-peptide. The invention also relates to pharmaceutical compositions and methods of treating disorders and diseases, for example, neurodegenerative and/or neurological disorders, e.g., Alzheimer's disease, in a mammal comprising compounds of the Formula I.","PFIZER","C07D"
2005,"A communication terminal (10) and a method for initiating a communication link from a communication terminal to a remote party, where the method includes sensing input of an address number for the remote party. Upon sensing the input of an address number a plurality of selectable items (152-157), representing different communication channels usable for setting up a communication link from the terminal, are presented on a display (15) of the terminal. A navigation tool (141) can be used to change selected communication channel, such as from voice call (152) to messaging (153), after which setting up of a communication link using the selected communication channel can proceed.","SNAPTRACK","H04M"
2008,"This invention discloses a uterine cervix sampling device (1) to be used by the patients themselves, with comprises: a hollow cylindrical thimble (2); an elongated cannula (3) coupled to the thimble (2); and a hollow sheath (4), where, in a first, retracted position, the thimble (2) is completely inside the sheath (4) and, in a second, extended position, the thimble (2) protrudes through the distal end of the sheath (4).","ACITS 06 S.L.","A61B"
