"APPLN_AUTH","APPLN_ID","EARLIEST_FILING_YEAR","APPLN_ABSTRACT","IPC4","PSN_NAME"
"EP",53385,2006,"The present invention discloses a method and device for implementing resource control on an access layer for a VC in an L2VPN. In an MPLS network, during the establishment of a VC session, PEs interact with each other through an LDP mapping message from the local end and an LDP mapping message from the remote end for negotiating the bandwidth parameter. The PE device compares the analyzed bandwidth parameter of the opposite end with the bandwidth parameter configured for VC at the local end. If they are consistent, the bandwidth parameter is valid. If they are not consistent, the corresponding bandwidth parameters values are compared, and the bandwidth with the smaller value is valid. Alternatively a negotiation failure message is returned. The present invention can realize bandwidth control for each VC on the PE device on the access layer. It avoids the problems that different services cannot be provided in the case that multiple CEs access a PE via the same port in the PE or multiple VCs use the same out port in PE. The manageability is enhanced on account of implementing the traffic control on the service layer.","H04L","HUAWEI TECHNOLOGIES COMPANY"
"EP",53390,2006,"An optical low pass filter (2) is formed, for example, by a birefringent plate so as to control the light beam separation width, thereby changing the cut-off frequency according to an imaging mode. The number of pixels of an imaging element (5) is set greater than the number of pixels corresponding to the dynamic image display resolution. In a still image capturing mode, the light beam separation width is set narrower so that the resolution of the imaging element (5) can be used as it is while suppressing generation of a false color to a certain degree. On the other hand, in a dynamic image capturing mode, the light beam separation width is set wider so that a high-frequency component corresponding to an unnecessary resolution component for an output image signal can be cut off and suppression of the false color can be performed strongly as compared to the still image capturing mode.","H04N","ACUTELOGIC CORPORATION"
"EP",53392,2006,"There is provided a chemical mechanical polishing pad which has a circular polishing surface and a non-polishing surface that is the back side of the polishing surface and incorporates an information recording medium that is readable or readable/writable by an electromagnetic wave in a noncontact manner and in which the position of the center of gravity of the information recording medium in the radial direction of the polishing surface is preferably within a range of 0 to 10% or 80 to 100% of the radius of the polishing surface in the direction from the center on the radius of the polishing surface toward the periphery of the polishing surface.","H01L","JSR CORPORATION (JAPAN SYNTHETIC RUBBER)"
"EP",53399,2006,"The present invention provides a pharmaceutical composition comprising: one or more excipients selected from sugars and sugar alcohols in which equilibrium water content is 1% by weight or less at 25°C and at 70% relative humidity; and oseltamivir phosphate, wherein an amount of each of glucose and mannose contained in the sugars and sugar alcohols as impurities is 0.01% by weight or less.","A61K","CHUGAI PHARMACEUTICAL"
"EP",53400,2006,"A long member 2 is covered with one-side coat member 3 and an other-side coat member 4 . The one-side coat member 3 is fixed to the long member 2 by a one-side fixing member 15 . The other-side coat member 4 is fixed to the long member by an other-side fixing member 20 . The inner peripheral face of the one-side fixing member 15 forms a tapered inner face part for introducing body fluid between the one-side coat member 3 and the long member 2 . An insertion guiding member 5 is mounted to the tip end part in an insertion direction of the long member 2 . A middle part in the insertion direction of the insertion guiding member 5 has a diameter larger than the base end part thereof.","A61B","JMS COMPANY"
"EP",53440,2006,"A surveillance camera (1) comprises a camera housing (2), a dehumidifying element (3) provided in the camera housing (2), a current value detection unit (8) that detects the value of the drive current applied to the dehumidifying element (3), a target current value determination unit (10) that determines a target current value (It), on the basis of a first current value (I0) detected at the period start time (t0) of a predetermined current change judgment period and a second current value (I1) detected at the period end time (t1) of the period, and a voltage control unit (13) that controls the drive voltage applied to the dehumidifying element (3). The dehumidifying element (3) is driven at the target current value (It) until target time (t2) to remove a target dehumidification amount (S) from the camera housing (2) by the target time (t2). There is thus provided the surveillance camera (1) capable of quickly removing moisture when the humidity in the camera housing (2) is high.","H04N","PANASONIC CORPORATION"
"EP",53473,2006,"Disclosed is a mixed mode parallel processor system in which the appreciable increase of circuit scale is avoided and lowering of performance in SIMD processing does not occur. N number of processing elements PEs, capable of performing SIMD operation, are grouped into M (= N÷S) processing units PUs performing MIMD operation. In MIMD operation, P out of S memories in each PU, which S memories inherently belong to the PEs, where P<S, operate as an instruction cache. The remaining memories operate as data memories or as data cache memories. One out of S sets of general-purpose registers, inherently belonging to the PEs, directly operates as a general register group for the PU. Out of the remaining S-1 sets, T set or a required number of sets, where T< S-1, are used as storage registers that store tags of the instruction cache.","G06F","NEC CORPORATION"
"EP",53475,2006,"A system and method for creating service are provided. When creating the new service, the combined abstract service logic is generated based on the present service classification in the classification catalogue of the present service in order to realize the service grade recycle. A system and method for performing service are also provided. When operating the abstract service logic, the abstract service logic is transferred to the concrete service logic, and then the corresponding service is accessed according to the concrete service logic. A system and method for mapping the abstract service are also provided. By using the present invention, the service developing efficiency and flexibility are improved, and it can simply and rapidly develop and dispose the service of the service network in order to effectively guarantee the normal operating for the service network.","G06F","HUAWEI TECHNOLOGIES COMPANY"
"EP",53484,2008,"The invention relates to optical coherence tomography (OCT), more specifically to spectral optical coherence tomography (SOCT), The invention deals with the problem of artefacts due to sharp increases of reflection by the object under investigation. It solves this problem by splitting of a part off the returning light for modification of the interferometric data.","G01N","OPTOPOL TECHNOLOGY"
"EP",53499,2007,"The present invention relates to a process for the preparation of (±S)-±-(2-methylpropyl)-2- (1-piperidinyl)benzenemethanamine of Formula I, \n which is a key intermediate for the synthesis of Repaglinide.","C07D","AUROBINDO PHARMA"
"EP",53500,2007,"The present invention relates to a novel process for the preparation of Escitalopram, which comprises: \n (ii) de-methylating (±)-1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-5-isobenzofurancarbonitrile (Formula II) (Citalopram) \n to produce (±)-1-[3-(methylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-5-isobenzofurancarbonitrile (desmethyl Citalopram) (XII), \n (iii) isolating the pure desmethyl Citalopram (XII), \n (iv) separating the enantiomers from the pure desmethyl Citalopram (XII) with an optically active acid to obtain ( S )-(+)-1-[3-(methylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-5-isobenzofurancarbonitrile (( S )-(+)-desmethyl Citalopram) (XIII), \n (v) methylating an enantiomerically pure compound (XIII) using suitable methylating agent to produce Escitalopram (I).","C07D","AUROBINDO PHARMA"
"EP",53501,2008,"A semiconductor integrated circuit (chip) includes a primary TAP controller and a secondary TAP controller. The primary TAP controller interprets a bit string of n bits included in the group 1 having an m-bit length (m‰¥2) and less than the total number of m bits as an instruction that carries out a processing for a control object and interprets each bit string having an m-bit length as an instruction that carries out no processing for the control object. The m-bit length is obtained by adding a predetermined single bit string to each bit string included in the group 1 consisting of at least two or more bit strings having an n-bit length, respectively. The secondary TAP controller extracts a single bit string denoting an instruction that has an n-bit length and carries out no processing for the control object from each bit string interpreted by the primary TAP controller as an instruction that carries out a processing for the control object, then interprets the single bit string.","G06F","RENESAS ELECTRONICS CORPORATION"
"EP",53502,2008,"A method (100) for tracking interactions of a user with an electronic document displayed in a browser, wherein the browser is executed on a computer, comprises the steps of: \n - determining (110) a state of visibility of the electronic document; \n - sensing (120) a browser event; \n - deciding, whether the event belongs to a set of pre-determined browser events indicative of the user's reading behaviour; and \n - logging (150) the state of visibility to a machine-readable medium, if yes.","G06F","HILGERS, PHILIPP V."
"EP",53504,2008,"The present invention relates to the use of selective inhibitors of coagulation factor Xa, in particular of oxazolidinones of the formula (I), for the treatment and/or prophylaxis of inflammatory conditions of the gastrointestinal tract such as inflammatory bowel disease (IBD) and celiac disease and/or disorders related to inflammatory bowel disease (IBD) and/or celiac disease such as thromboembolic events (including e.g. pulmonary embolism (PE), arterial and venous thrombosis, myocardial infarction, stroke) as well as their use for the preparation of pharmaceutical drugs for the treatment and/or prophylaxis of inflammatory bowel disease (IBD) and/or celiac disease and/or disorders related to inflammatory bowel disease (IBD) and/or celiac disease such as thromboembolic events.","A61K","BAYER SCHERING PHARMA"
"EP",53505,2007,"A vehicular user hospitality system (100) recognizes a situation concerning the use of a vehicle in accordance with a combination of a disturbance stimulation type and a hospitality intention category. The system references an intention estimation table and determines a reference intention parameter value for providing an intensity reference of a hospitality intention for each of safety, convenience, and comfort categories. The system settles an intention intensity reference using a reference intention parameter value specific to each of situations concerning the use of a vehicle, that is, intention categories and disturbance types. The system supplements the reference intention parameter value with the current disturbance stimulation value to determine an intention intensity parameter value, which can be appropriately used as a function selection reference value in consideration for a disturbance stimulation magnitude. A function specification table is used to extract function specification information for specifying a function of a hospitality operating portion in accordance with a combination of the disturbance stimulation type and the hospitality intention category. The system determines a control content of the extracted function based on the intention intensity parameter value.","G06F","DENSO CORPORATION"
"EP",53507,2002,"An analytical instrument comprises a substrate (4) formed with a groove (30), a first cover (5A) made of elastomer and stacked on the substrate (4) to cover the groove (30) for defining a capillary (3), and a second cover (5B) formed to cover the first cover (5A). The second cover (5B) includes an outer periphery (50; 52)located outward of the first cover (5A) for bonding to the substrate (4).","G01N","ARKRAY"
"EP",53508,2004,"A method of polling in a wireless communications system includes prohibiting polling within a predetermined period and triggering a poll function while polling is prohibited. After the predetermined period has expired the method determines that there are no protocol data units (PDUs) scheduled for transmission or re-transmission and that the poll function was triggered by a 'Last PDU in Retransmission buffer' trigger, and selects a PDU to schedule for re-transmission to fulfill the poll function.","H04L","INNOVATIVE SONIC"
"EP",53513,2007,"The present invention is related to an endoscopic treatment tool (1, 31) which is inserted to a body cavity endoscopically including a wire (2), a surgical section (3) which is disposed on a first end of the wire and used for treatment inside the body cavity, and an operator section (6, 32) which is disposed on the second end of the wire and moves in conjunction with the wire so as to rotate by a rotary operation; and the movement of the operator section in conjunction with the wire is released upon exerting more than a predetermined torsional load on the wire.","A61B","OLYMPUS MEDICAL SYSTEMS CORPORATION"
"EP",53515,2007,"A processing system includes memory management software responsive to changes in a page table. The memory management software consolidates contiguous page table entries into one or more page table entries that have larger memory page sizes. The memory management software updates the entries of a translation lookaside buffer that correspond to the consolidated contiguous page table entries.","G06F","QNX SOFTWARE SYSTEMS"
"EP",53519,2004,"A method of polling in a wireless communications system includes prohibiting polling within a predetermined period and triggering a poll function while polling is prohibited. After the predetermined period has expired the method determines that there are no protocol data units (PDUs) scheduled for transmission or re-transmission and that the poll function was triggered by a 'window-based' trigger, and selects a PDU to schedule for re-transmission to fulfill the poll function.","H04L","INNOVATIVE SONIC"
"EP",53520,2004,"A method of polling in a wireless communications system includes prohibiting polling within a predetermined period and triggering a poll function while polling is prohibited. After the predetermined period has expired the method determines that there are no protocol data units (PDUs) scheduled for transmission or re-transmission and that the poll function was triggered by a 'Every Poll_SDU SDU' trigger, and selects a PDU to schedule for re-transmission to fulfill the poll function.","H04L","INNOVATIVE SONIC"
"EP",53521,2004,"A method of polling in a wireless communications system includes prohibiting polling within a predetermined period and triggering a poll function while polling is prohibited. After the predetermined period has expired the method determines that there are no protocol data units (PDUs) scheduled for transmission or re-transmission and that the poll function was triggered by a 'Every Poll_PDU PDU' trigger, and selects a PDU to schedule for re-transmission to fulfill the poll function.","H04L","INNOVATIVE SONIC"
"EP",53522,2004,"A method of polling in a wireless communications system includes prohibiting polling within a first predetermined period and triggering a poll function while polling is prohibited. After the first predetermined period has expired the method determines that there are no protocol data units (PDUs) scheduled for transmission or re-transmission and that there is at least a transmitted PDU that is not acknowledged yet, and selects a PDU to schedule for re-transmission to fulfill the poll function.","H04L","INNOVATIVE SONIC"
"EP",53523,2008,"The invention concerns a method for generating at least one index (10) over XML documents (30) in an XML database (40); the method comprising the steps of: \n a. executing at least one indexing function (20) defined in the XQuery language; each indexing function (20) accepting an XML document (30) as input and returning at least one computed result; and \n b. storing each of the at least one computed results from the at least one indexing function (20) as a key (11) of the corresponding index (10) and a reference to the input XML document (30) as a value (12) of the index (10).","G06F","SOFTWARE"
"EP",53528,2007,"The invention relates to the mechanically treated milk thistle fruit and a method of its treatment for its subsequent extraction, or for direct use in the food or feeding industry, when the incoming fruit is first provided with pre-drying if necessary, then the fruit is subject to separation of mechanical impurities if necessary while after that there is the stage of removing the surface layers of the fruit with optionally separation of the fruit and subsequent sorting into the fraction of fruit coats and the fraction of the remaining inner layers of the fruit while all the materials can be preferably further processed by pressing to eliminate the fatty fraction, increase the content of flavonolignans and obtain the final structure when the shape and size of individual final products is achieved through crushing and sieving.","A61K","IREL SPOL."
"EP",53531,2004,"A communication method for exchanging channel information between a transmitter and a receiver each including a plurality of antennas, the method comprising: constructing, at the transmitter, a request frame including a first preamble, a second preamble, and a channel information feedback request; transmitting the request frame to the receiver, wherein the first preamble is transmitted from at least one of the plurality of antennas of the transmitter, the second preamble is transmitted from each of the plurality of antennas of the transmitter, and the channel information feedback request is transmitted from the at least one of the plurality of antennas of the transmitter; receiving the request frame at the receiver, wherein the first preamble is received from at least one of the plurality of antennas of the receiver, the second preamble is received from each of the plurality of antennas of the receiver, and the channel information feedback request is received from the at least one of the plurality of antennas of the receiver; detecting, at the receiver, the channel information feedback request by a decoding based on the first preamble or the second preamble; estimating channel information, using the second preamble at the receiver; constructing, at the receiver, a notification frame including the estimated channel information; transmitting the notification frame to the transmitter; and receiving the notification frame at the transmitter, the notification frame responding to the request frame.","H04L","TOSHIBA CORPORATION"
"EP",53532,2008,"Summary of the Invention System and method for providing one-to-one interactive communication services between mobile users in close proximity In the present invention, the SMS protocol is used in conjunction with the SMS-CB protocol and the IN system in order to provide an enabler of multiple one-to-one SMS chat and/or voice/video communication services for close proximity, as defined by the wireless operator/service provider. This is carried out by requiring only SMS writing capabilities and basic handsets without additional programming on the mobile user side; and it does not necessitate expensive location server systems nor does it generate load for the wireless network on the service provider side.","H04L","SONMEZ, FAZIL RIFAT"
"EP",53535,2008,"The invention relates to a topical gel composition comprising (a) an active agent for treatment of actinic keratosis, (b) a keratolytically active agent, (c) a gel former and (d) an organic solvent for use in the treatment of actinic keratosis.","A61K","ALMIRALL HERMAL"
"EP",53545,2008,"A continuous one-dimensional nanostructure (2) is used in a sensor. The nanostructure is divided into four sections (5a, 5b, 5c, 5d) by means of five electrodes (4a - 4e). Two sections are exposed to a parameter to be measured, while the other sections are provided with a passivation layer (6a) that makes them insensitive to the parameter. The sections are arranged in a Wheatstone bridge for measurement. By using four sections of the same nanostructure in the Wheatstone bridge, the bridge is well balanced, which allows a more reliable measurement.","G01N","EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH"
"EP",53552,2007,"The present invention relates to a controlled-release niacin formulation. In particular, the present invention relates to a controlled-release niacin formulation, comprising niacin; hydroxypropyl methylcellulose; and a carboxyvinyl polymer, in which the carboxyvinyl polymer and hydroxypropyl methylcellulose are contained in a predetermined weight ratio, and to a preparation method thereof. The controlled-release niacin formulation according to the present invention maintains its matrix shape until completion of release, and maintains its release pattern without fluctuation for a desired time period, unlike a commercial formulation. In particular, since niacin formulations are used for long-term treatment of hyperlipidemia, the controlled-release niacin formulation of the present invention, capable of maintaining effective blood concentration and high stability for a long period of time, is very useful.","A61K","SEOUL PHARM. COMPANY"
"EP",53563,2008,"The present invention relates to a color format conversion and deconversion. The color format conversion converts a color image from a first color format to another color format. Furthermore, color format deconversion coefficients are determined and the determined color format deconversion coefficients are provided together with the converted image data. The color format deconversion deconverts the converted image data obtained together with the color format deconversion coefficients, using the color format deconversion coefficients.","H04N","PANASONIC CORPORATION"
"EP",53570,1998,"The present invention provides vascular endothelial cell growth factor (VEGF) antagonists and methods of using VEGF antagonists. VEGF antagonists contemplated by the invention include VEGF antibodies and VEGF receptor fusion proteins. \n Methods of treating edema and stroke using VEGF antagonists are also provided.","A61K","GENENTECH"
"EP",53572,2008,"The invention concerns a method for synchronizing the execution of at least one critical code section (C1) by at least one of a plurality of concurrent tasks (S1, Sn) of an application (4), the application (4) running on an operating system (5) providing cooperative multitasking, the critical code section (C1) being restricted to execution by only a limited number of the plurality of tasks (S1, Sn), the method comprising at least the following steps performed by at least one of the tasks (S1, Sn): \n a. testing (F11) at least one variable (Mx) associated to the at least one critical code section (C1) and setting (F12) the variable (Mx) and entering the associated critical code section (C1), if the variable (Mx) is not set by another task (S1, Sn), or, waiting (F13) for a release (F22) by another task (S1, Sn) and releasing the CPU, if the variable (Mx) is already set by another task (S1, Sn); and \n b. resetting (F21) the variable (Mx) and releasing (F22) at least one of the other waiting tasks (S1, Sn) when leaving the critical code section (C1); \n c. wherein step a. is performed as an atomic function (F1).","G06F","SOFTWARE"
"EP",53574,2007,"A tape printing apparatus (1) has a display part (12) that displays a character string; an operation part (11) with which an operator can input an operation; a conversion candidate creation/display processing part (57) that creates at least one conversion candidate associated with character input by the operator with the operation part (11) and outputs a signal required to display the created conversion candidate in the display part (12); a converted character string display processing part (59) that outputs a signal required to display a corresponding conversion candidate as a finally-determined character string in the display part (12) based on input of the selective final determination by the operator with the operation part (11) associated with display of the conversion candidate in the display part (12); and a learning part (62) that learns and stores character string data displayed in the display part (12) in association with character input by the operator before creation of the conversion candidate for the next creation of the conversion candidate at the time of input of a learning instruction by the operator with the operation part (11) different from the time of input of the selective final determination by the operator with the operation part (11).","G06F","BROTHER INDUSTRIES"
"EP",53576,2007,"Disclosed herein is a video communication apparatus. A LAN connection unit connected to a LAN provides access to the Internet. A modem provides access to a PSTN. A DSP processes digital signals received from the LAN connection unit and the modem, and converts internal signals into digital signals. A CPU receives standard signals, and converts them into signals suitable for a TV, or directly/indirectly receives signals through a terrestrial wave/cable broadcast signal reception unit or camera signals and transmits them to the DSP. A memory unit records programs and protocols. A PIP processing unit directly/indirectly receives signals from the CPU or the terrestrial wave/cable broadcast signals, receives adjustment commands for image compilation, and transmits compiled signals so as to arrange images, to be displayed, in a predetermined manner. A TV receives and displays the compiled signals from the PIP processing unit. A user interface inputs commands for the CPU and inputs additional signals for the CPU.","H04N","DIGITAL MULTIMEDIA TECHNOLOGY COMPANY"
"EP",53580,2007,"An endoscope of the present invention includes a distal end main body portion 6 provided at a distal end portion of an insertion portion, a disposing hole 110 having a first space 111 and a second space 112 that is formed in the distal end main body portion 6, and an objective lens 20. The endoscope also includes an image pickup unit 2 that is provided inside disposing hole 110 such that objective lens 20 faces a second opening 112k and that has a shape formed along a part of first space 111 and second space 112. Image pickup unit 2 is fixed inside disposing hole 110 by a screw 8 that is inserted into distal end main body portion 6 through a screw hole formed in distal end main body portion 6 at an intersecting region 200 between first space 111 and second space 112.","A61B","OLYMPUS MEDICAL SYSTEMS CORPORATION"
"EP",53585,2002,"A robot system for use in surgical procedures has two movable arms (102,103) each carried on a wheeled base with each arm having a six of degrees of freedom of movement and an end effector which can be rolled about its axis and an actuator which can slide along the axis for operating different tools adapted to be supported by the effector. Each end effector including optical force sensors for detecting forces applied to the tool by engagement with the part of the patient. A microscope is located at a position for viewing the part of the patient. The position of the tool tip can be digitized relative to fiducial markers visible in an MRI experiment. The workstation and control system has a pair of hand- controllers simultaneously manipulated by an operator to control movement of a respective one or both of the arms. The image from the microscope is displayed on a monitor in 2D and stereoscopically on a microscope viewer. A second MRI display shows an image of the part of the patient the real-time location of the tool. The robot is MRI compatible and can be configured to operate within a closed magnet bore. The arms are driven about vertical and horizontal axes by piezoelectric motors.","A61B","NEUROARM SURGICAL"
"EP",53587,2008,"A vertebral pedicle screw includes a screw body driven into a vertebral pedicle, a housing assembled to an upperend of the screw body and having grooves for seating a rod and a threaded portion for locking a fastening bolt, the fastening bolt pressing the rod positioned thereunder as it is threaded downward, and a fastening ring inserted into the housing. The vertebral pedicle screw further includes an insert placed on an outer surface of a screw head of the screw body in the housing, installed to be partially come into contact with the fastening ring on an upper portion thereof, and accommodating the screw head of the screw body on a curved inner surface thereof such that the insert and the screw head are brought into sliding contact with each other, whereby an entire rod-side assembly can be slidingly moved in all directions with respect to the screw body.","A61B","CHOI, GIL WOON"
"EP",53588,2007,"An X-ray computed tomography apparatus scans a subject to be examined with cone beam X-rays, and generates reference volume data on the basis of projection data (SA1). This apparatus extracts a cone beam artifact component contained in the reference volume data on the basis of the typical shape and direction of the cone beam artifact component (SA2, SA3, SA4, SA5, and SA6). This apparatus generates resultant volume data with the reduced cone beam artifact by subtracting the cone beam artifact component from the reference volume data (SA7).","A61B","TOSHIBA CORPORATION"
"EP",53590,2008,"The present invention relates to a photovoltaic module comprising a solar cell element and an insulation material laminated to at least one side of the solar cell element wherein the insulation material comprises an olefin copolymer which comprises silane group-containing monomer units, to a process for the production of such a photovoltaic module, and to the use of an olefin copolymer which comprises silane group-containing monomer units for the production of an insulation layer of a photovoltaic module.","H01L","BOREALIS"
"EP",53594,2007,"A method and apparatus for compensating hand-trembling of a camera with reduced time required for capture compensated images. The method may include: calculating exposure time proper for preventing hand-trembling using an AE (Automatic Exposure) algorithm during an image-capturing standby mode; executing image-capturing multiple times depending on the exposure time at the time of inputting a photographing signal through a photographing button, and detecting the amount of hand-trembling at each time of image-capturing. The storing of images can be selected by a preset number of required images from the captured images as resultant images, the images being sequentially stored from an image having a lowest amount of hand-trembling as a resultant image, whereby an image with reduced hand-trembling can be obtained.","H04N","SAMSUNG ELECTRONICS COMPANY"
"EP",53596,1996,"An implant for occluding a passage in a circulatory system is provided. The implant in one form includes a plurality of thin wire-like members each having a proximal and a distal end and a first holder to which the distal ends of the members are attached. The proximal ends of the members are attached to a second holder. The implant includes an expansible occluding body attached to the members at a point intermediate the first and second holders. A carrier rod is releasably attached to the first holder and upon which the second holder is slidably received. A driving implement is located on the carrier rod, the driving implement contacting the second holder and movable toward the first holder along the carrier rod. The members are attached to the first and second holders in a manner to cause the members to execute a twisting motion relative to the longitudinal axis to yield a plurality of generally radially extending loops combining to form a first fixation structure adjacent the distal face of the occluding body, and a second fixation structure of generally radially extending loops adjacent the proximal face of the occluding body. In another form, the implant includes a balloon structure which is expanded from within by a spring-like mechanism in situ, or by the foregoing radially extending loop mechanism.","A61B","CARAG"
"EP",53597,2007,"A module constructs a frame for communication in a communication system that supports a new standard and a legacy standard, the new standard being backward compatible with the legacy standard. The module comprises a first frame generator configured to generate a first portion of the frame, the first portion of the frame to support a first set of data to be transmitted in the legacy standard in each of a number of first bands, a second frame generator configured to generate a second portion of the frame, the second portion of the frame to support a second set of data to be transmitted in the new standard in a second band composed of the first bands, and a frame constructor configured to construct the frame based on the first portion of the frame from the first frame generator and the second portion of the frame from the second frame generator.","H04L","ITRI (INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE)"
"EP",53598,2007,"An encoding/decoding apparatus comprises a central processing unit and an encryption/decryption accelerator coupled to the central processing unit The accelerator comprises an input for input data to be encrypted/decrypted, an arithmetic logic unit coupled to said input for performing selectable operations on data obtained from said input data and an output for encrypted/decrypted data coupled to said arithmetic logic unit.","H04L","STMICROELECTRONICS"
"EP",53599,2008,"The invention relates to a method of compressing a stream of video frame data wherein tone mapping functions are determined for video frames of said stream, said tone mapping functions being different from one another for frames relating to different scenes and wherein it is suggested that the tone mapping functions will be altered for frames of the stream relating to the same scene.","H04N","UNIVERSITY OF WARWICK"
"EP",53608,2007,"Aspects of a method and system for quality of service management in a multi-standard mesh of networks are provided. In a wireless mobile communication device (WMCD) enabled to communicate utilizing a variety of communication networks, QoS information, such as latency, available bandwidth, and/or throughput, communicated to the WMCD may enable the coordination of data transfers to and/or from the WMCD. In this regard, the WMCD and each of the networks may comprise a QoS management entity. A QoS management entity may be enabled to poll other QoS management entities to discover QoS information. Similarly, a QoS management entity may be enabled to receive QoS information broadcast by other QoS management entities. A QoS management entity may enable selecting a network and/or communication protocol for the transmission and/or reception of data based on exchanged QoS information.","H04L","BROADCOM CORPORATION"
"EP",53609,2007,"Methods and systems for environment configuration by a device based on auto-discovery of local resources and generating preference information for those resources are disclosed and may include discovering available networked resources utilizing a wireless mobile communication device (WMCD). Wireless communication may be established with one or more of the available networked resources utilizing the WMCD, which may then configure the resources according to user preferences. The user preferences may be stored internal or external to the WMCD, and may be modified based on subsequent changes to the configuring of the resources. The WMCD may communicate with the resources utilizing one or more of a plurality of wireless protocols, which may comprise cellular, WLAN, near-field communication, Bluetooth, and radio frequency identification. The WMCD may auto-discover as well as determine and authenticate access privileges for the resources, which may comprise devices for adjusting a user's local environment.","H04L","BROADCOM CORPORATION"
"EP",53610,2002,"An access device may be initially authenticated upon initiating communication with a first access point. Authentication information related to the initial authentication may be provided to a second access point and/or a third access point. The first, second, or third access point may provide service to the access device based on the initial authentication. The initial authentication information may be stored and subsequently retrieved by the second and/or third access point. The second access point may retrieve the initial authentication information when the access device migrates from a first coverage area associated with the first access point to a second coverage area associated with the second access point. Similarly, the third access point may retrieve the initial authentication information when the access device migrates from one of the first coverage area and the second coverage area to a third coverage area associated with the third access point.","H04L","BROADCOM CORPORATION"
"EP",53613,2007,"Disclosed is a light emitting diode (LED) operated by being directly connected to an AC power source. An AC LED according to the present invention comprises a plurality of light emitting cells two-dimensionally arranged on a single substrate; and wires electrically connecting the light emitting cells; wherein the light emitting cells are connected in series by the wires to form a serial array, the single substrate is a non-polar substrate, and the light emitting cells have non-polar GaN-based semiconductor layers grown on the non-polar substrate.","H01L","SEOUL VIOSYS COMPANY"
"EP",53615,2002,"A method and apparatus for session release in a communication system supporting Internet Protocol (IP) communications. In one embodiment, when the MS has lost a bearer connection (i.e., PPP session), the notification is provided by a Packet Data Service Node (PDSN) to the serving Session control Manager (SCM) via IP multicast. If two PPP sessions are active for a given IP communication, and one PPP session is not lost, the PDSN associated with the active PPP session sends a correction message to ignore any notification message sent by the other PDSN. In an alternate embodiment, the Authentication Authorization Accounting (AAA) server uses start and stop accounting requests, received from PDSNs, to determine when to notify the serving SCM to terminate an IP communication.","H04L","QUALCOMM"
"EP",53616,2007,"The present invention is to present a sample analyzer which is automated even when measuring a small amount sample and is capable of improving a measurement precision. The sample analyzer S comprises a sample preparation section for preparing a measurement sample; a detector D3 for detecting an analyte contained in the measurement sample; and a controller 100 being configured to 1) control the sample preparation section so as to prepare a first measurement sample of a first dilution ratio, when measuring an ordinary amount sample; and 2) control the sample preparation section so as to prepare a second measurement sample of a second dilution ratio higher than the first dilution ratio, when measuring a small amount sample.","G01N","SYSMEX CORPORATION"
"EP",53617,2003,"The present invention provides C-glycoside derivatives (I) and salts thereof, wherein B ring is bonded to A ring via -X- and A ring is directly bonded to the glucose residue, and it is usable as a Na +- glucose cotransporter inhibitor, especially for a therapeutic and/or preventive agent for diabetes such as insulin-dependent diabetes (type 1 diabetes) and insulin-independent diabetes (type 2 diabetes), as well as diabetes related diseases such as an insulin-resistant diseases and obesity.","C07D","ASTELLAS PHARMA"
"EP",53619,2007,"A carrier capable of reliably fixing a physiologically active substance is produced. The carrier comprises a base plate, a polymeric film, which has been bound on a surface of the base plate, and a ligand, which has been bound with the polymeric film. The ligand has been bound with the polymeric film at a density falling within the range of 1.0×10 16 pieces/mm 3 to 3.3×10 18 pieces/mm 3 . The carrier is produced with a process, comprising the steps of: causing the polymeric film to bind on the base plate, and causing the ligand to bind with the polymeric film, the step of causing the ligand to bind with the polymeric film being performed in an organic solvent.","G01N","FUJIFILM"
"EP",53621,2007,"A measurement and control system for use in performing a medical procedure is provided. The medical procedure can employ an energy source, the energy source can be connected to an energy delivering device via a transmission line. The system includes a measurement system, the measurement system is configured to sample an output signal generated by the energy source. The system includes a control system, which includes a calibration unit. The calibration unit is configured to generate a calibration signal. The calibration signal has a magnitude and phase, wherein the magnitude and phase is representative of the output signal and the transmission line loss information. The system also includes a control unit. The control unit is configured to receive the calibration signal and adjust the energy source as needed.","A61B","COVIDIEN"
"EP",53624,2007,"Disclosed herein is an automatic analyzer which determines a vessel blank value of the automatic analyzer based on a criterion associated with the sensitivity of an analysis item to determine whether or not a vessel is usable. An automatic analyzer includes: an operation unit for calculating an absolute value of a difference between a vessel blank value immediately before measurement of the analysis item and a vessel blank value under periodical measurement to determine whether or not a vessel is usable for measurement based on a plurality of criteria set for each analysis item; and a function of issuing an alarm if the vessel blank value is not judged to be within a criterion.","G01N","HITACHI HIGH-TECHNOLOGIES CORPORATION"
"EP",53625,2007,"A query interpreter may be configured to query a model repository to obtain one or more elements of at least one model associated with a software application and stored in the model repository. A profile reader may be configured to read, from a profile repository, at least one profile meta-model that is associated with at least one annotation; and a profile integrator may be configured to annotate the one or more elements with the at least one annotation to obtain an annotated model.","G06F","SAP"
